そして25日夜から微熱が4日間続いた。	そして25日の夜から微熱が4日続きました。
夜中は気分不良であまり眠れなかった。	夜中は気持ち悪かったりしてあまり眠れず。
今日はずっと乾性咳嗽がある。	今日は空咳がずっと出ています。
日によって倦怠感や様々な不調はあるが、この程度なら頑張って続けられそうだ。	日によって倦怠感やらモロモロの不調はあるけどこのくらいなら頑張って続けられそう。
ここ数日、脱毛症が出てきた。	ここ数日、すごい勢いで髪が抜けます。
副作用なしであり、いつもの胃もたれ感がある以外は、元気に朝を迎えた。	副作用らしきものは、まったくなく、いつもの胃もたれ以外は、元気な朝を迎えました。
前回は無かった爪の障害が出現、1週間後に治った。	前回なかった爪の痛み１週間指の爪が剥がれそうに痛くて１週間したら治りました。
前回と異なり、体調不良は、4日目から3日間に倦怠感があったのみであった。	体調は、前と違って4日目から3日間ダルいのみ‼。
手足に疼痛があり、四肢のしびれ感も出ている。	手先、足先の痺れと痛み手のひら全体、足の裏全体痺れて感覚がおかしい。
舌のしびれ感と下半身のピリピリ感が続く。	舌の痺れ、下半身の皮膚の違和感とピリピリ感継続中。
足のしびれ感が取れない。	膝から下が痺れが取れない。
今日も頭痛があり、偏頭痛薬を内服する。	今日も頭痛あり、偏頭痛薬内服する。
筋トレはしていないが、全身に筋肉痛が出ている。	筋トレしてないけど、全身筋肉。
帰宅後ずっと気分不良で寝ていた。	帰ってからずっとなんか気分悪くて寝てました。
しびれ感、皮膚炎、口内炎、肉腫等で外来が増える。	手足のしびれとか皮膚のただれとか口の中の口内炎と肉腫とかいろいろ外来が増えるな。
毎日のようにあった肛門出血は、1クール目終了前になくなっていた。	毎日のようにあったトイレの出血は、１クール目が終わる前にはなくなっていました。
夫はしびれ感と倦怠感の副作用を訴えていた。	副作用は、しびれの他、体のだるさを訴えていました。
「オキサリプラチン」(点滴)、「TS-1」(内服薬)、分子標的治療薬剤「アバスチン」(点滴)の抗がん剤投与が2クール終了し、9月半ばの診察で、抗がん剤が奏功し悪性腫瘍が縮小していることが確認された。	「オキサリプラチン」(点滴)、「TS-1」(内服薬)、分子標的治療薬剤「アバスチン」(点滴)の抗がん剤投与が２クール終了し、９月の半ばの診察で、抗がん剤が奏功し、腫瘍部分が縮小していることが確認されました。
主治医のK﨑S病院のO田医師は「肝腫瘍も消えている」という。	主治医のK﨑S病院のO田医師は「肝臓の怪しい点も消えています。
関節痛が手首と足首、股関節に出ている。	関節痛、手首と足首、股関節ある。
皮膚乾燥は、足の方がひどく、皮がむけているところが多い。	手足の乾燥(足の方がひどくて皮がむけてるところ多いかも。
裂肛はかなり改善してきた。	切れ痔は、随分良くなってきた。
胃痛や腹痛は改善してきたが、午後から再度腹痛と下痢があり、辛い。	胃痛、腹痛は、良くなってきたけど、また、お昼から腹痛と下痢で、なかなか辛いな。
先日のCTの画像診断の結果について、「胃癌とリンパ節腫大は縮小したままで新たな腫瘍もなかったので、現在の治療を継続しましょう」と言われた。	「この前のCTの画像診断チームからの診断結果が出てて、胃とリンパの腫瘍も小さくなったままで、新しい腫瘍もなかったからこのままの治療を続けていきましょう」。
驚いたことに4センチ近くあった悪性腫瘍が6ミリに縮小していた。	なんとなんと、元々４センチ近くあった癌が、6ミリになっていました。
リンパ節腫大もほとんど見えなくなっているようだ。	リンパの方も殆ど見えなくなっているみたい。
抗がん剤シスプラチンによる治療開始から数日後、ひどい耳鳴が始まった。	シスプラチンていう抗がん剤を始めて何日目かに、凄い耳鳴りが始まりました。
手先と足先にしびれ感と疼痛、爪の剥がれ感がある。	手先足先痺れと痛み爪の剥がれ感。
疼痛がある。	身体あちこち痛い。
裂肛は1/10と、変わらない。	切れ痔は1/10変わらず。
約1年後、肝臓に再発。	で、1年ぐらいしてから肝臓に再発。
抗がん剤治療前にデキサートの点滴を受け、翌日以降デカドロンを内服し、ステロイドによるドーピング中のため、膝・肩・肘の関節痛が緩和されている。	ケモ前にデキサート点滴、翌日からデカドロンを内服して、ステロイドによるドーピング中なので膝・肩・肘の関節痛3点セットが緩和されている。
頚部痛は緩和されているが、人差し指と中指の浮腫が取れない。	首筋と背筋も炎症が緩和されているのだが、人差し指と中指の浮腫が取れない。
ドーピング中は関節炎が緩和されて楽だが、今日中に薬の半減期が過ぎるので楽観できない。	ドーピング中は関節炎が緩和されて楽なのだが、今日中には半減期が過ぎてしっかり戻って来るので楽観できない。
幸い脱毛症は出ていないようだ。	幸いにも脱毛は回避できている様だ。
ドセタキセル＋TS-1の5クール終了後3日目、倦怠感はさほどなく、制吐剤(ドンペリドン錠10mg)を内服しつつ、食べられる物を食べている。	ドセタキセル、TS-1、5クール目終わって3日目倦怠感はさほどなく、食べることも吐き気止め(ドンペリドン錠10)を飲みながら食べれる物をたべてます。
